Country,Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Total,2.193,1.841,1.739,1.208,0.877,1.244,1.13,1.039,0.967,0.894,0.817,0.738,1.159,1.176,1.126,1.198,1.244,1.361,1.358,1.498,1.675,1.625,1.776,1.814,1.796,1.783,1.766,1.767,1.746
Afghanistan,Central (Kabul Wardak Kapisa Logar Parwan Panjsher),2.879,2.402,2.264,1.553,1.114,1.6,1.449,1.329,1.233,1.138,1.035,0.932,1.488,1.511,1.444,1.54,1.601,1.757,1.753,1.94,2.177,2.09,2.268,2.296,2.25,2.212,2.19,2.192,2.165
Afghanistan,Central Highlands (Bamyan Daikundi),1.826,1.54,1.456,1.021,0.746,1.05,0.956,0.881,0.821,0.761,0.696,0.631,0.98,0.994,0.953,1.012,1.05,1.147,1.144,1.259,1.403,1.335,1.425,1.425,1.382,1.344,1.332,1.333,1.318
Afghanistan,East (Nangarhar Kunar Laghman Nooristan),1.87,1.576,1.49,1.043,0.762,1.073,0.977,0.9,0.838,0.777,0.711,0.644,1.002,1.016,0.974,1.035,1.073,1.172,1.17,1.287,1.436,1.355,1.436,1.425,1.372,1.326,1.314,1.315,1.299
Afghanistan,North (Samangan Sar-e-Pul Balkh Jawzjan Faryab),1.932,1.627,1.538,1.075,0.784,1.106,1.007,0.927,0.863,0.8,0.731,0.662,1.032,1.047,1.003,1.066,1.106,1.209,1.206,1.328,1.482,1.525,1.766,1.913,2.007,2.109,2.089,2.091,2.065
Afghanistan,North East (Baghlan Takhar Badakhshan Kunduz),2.145,1.802,1.702,1.184,0.86,1.218,1.107,1.019,0.948,0.877,0.801,0.724,1.136,1.153,1.104,1.174,1.219,1.333,1.33,1.467,1.639,1.551,1.651,1.644,1.587,1.537,1.523,1.524,1.506
Afghanistan,South (Uruzgan Helmand Zabul Nimroz Kandahar),2.051,1.725,1.63,1.136,0.827,1.169,1.063,0.978,0.911,0.843,0.77,0.697,1.09,1.106,1.06,1.127,1.17,1.279,1.276,1.406,1.57,1.535,1.688,1.736,1.731,1.73,1.714,1.715,1.695
Afghanistan,South East (Ghazni Paktya Paktika Khost),2.505,2.097,1.978,1.366,0.986,1.407,1.276,1.172,1.089,1.006,0.917,0.827,1.31,1.329,1.272,1.354,1.407,1.542,1.539,1.7,1.904,1.768,1.851,1.811,1.717,1.634,1.619,1.62,1.601
Afghanistan,West (Ghor Herat Badghis Farah),2.156,1.811,1.71,1.189,0.864,1.224,1.113,1.023,0.952,0.881,0.804,0.727,1.141,1.158,1.109,1.18,1.225,1.34,1.337,1.474,1.647,1.573,1.692,1.701,1.658,1.621,1.606,1.607,1.587
Algeria,Total,9.989,9.457,9.462,9.171,8.847,8.904,9.069,9.099,9.502,9.596,9.7,10.13,10.45,11.07,11.31,11.6,11.73,12.42,12.64,12.6,12.95,12.91,12.91,12.95,13.17,13.33,13.83,13.66,13.64
Algeria,"Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",9.287,8.796,8.801,8.532,8.233,8.285,8.438,8.466,8.837,8.924,9.02,9.416,9.709,10.25,10.44,10.68,10.78,11.37,11.54,11.48,11.76,11.7,11.67,11.67,11.87,12.01,12.46,12.3,12.29
Algeria,"Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",9.418,8.92,8.925,8.652,8.348,8.401,8.557,8.585,8.962,9.051,9.148,9.55,9.848,10.51,10.82,11.18,11.4,12.15,12.46,12.51,12.95,13.01,13.1,13.24,13.46,13.63,14.14,13.96,13.95
Algeria,"Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",9.05,8.573,8.578,8.316,8.026,8.077,8.225,8.252,8.613,8.698,8.791,9.176,9.461,10.07,10.34,10.66,10.84,11.53,11.8,11.82,12.21,12.23,12.3,12.4,12.61,12.76,13.24,13.07,13.06
Algeria,"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",11.19,10.58,10.59,10.26,9.892,9.956,10.14,10.18,10.63,10.74,10.86,11.35,11.71,12.28,12.41,12.6,12.62,13.22,13.32,13.14,13.36,13.19,13.06,12.96,13.19,13.35,13.85,13.67,13.66
Algeria,"Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",9.315,8.823,8.828,8.558,8.258,8.311,8.464,8.492,8.864,8.952,9.048,9.445,9.739,10.38,10.66,11,11.2,11.92,12.21,12.24,12.65,12.69,12.77,12.88,13.1,13.26,13.76,13.58,13.57
Algeria,"Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)",9.628,9.117,9.122,8.842,8.532,8.586,8.745,8.774,9.16,9.251,9.35,9.763,10.07,10.72,11.01,11.36,11.56,12.3,12.59,12.62,13.03,13.06,13.13,13.24,13.47,13.63,14.15,13.97,13.95
Algeria,"Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)",9.982,9.451,9.456,9.165,8.841,8.898,9.063,9.093,9.495,9.59,9.693,10.12,10.44,11.09,11.37,11.69,11.87,12.6,12.86,12.86,13.25,13.25,13.29,13.36,13.59,13.76,14.28,14.1,14.08
Argentina,Total,10.93,11.9,12.82,13.77,14.37,13.74,14.3,15.26,15.62,14.9,14.62,13.79,11.84,12.91,12.91,13.89,16.19,17.59,18.14,16.79,18.28,19.25,18.94,19.23,18.56,18.9,18.25,18.46,17.61
Argentina,"Catamarca, La Rioja, San Juan",10.98,11.95,12.87,13.84,14.44,13.8,14.36,15.33,15.69,14.97,14.68,13.85,11.89,12.97,12.97,13.95,16.26,17.67,18.22,16.87,18.36,19.34,19.03,19.32,18.65,18.99,18.33,18.55,17.69
Argentina,"Chaco, Formosa",8.642,9.388,10.09,10.83,11.28,10.8,11.23,11.96,12.24,11.69,11.47,10.84,9.341,10.16,10.16,10.91,12.67,13.74,14.15,13.13,14.26,15,14.77,14.98,14.48,14.74,14.24,14.4,13.75
Argentina,"Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego",12.58,13.71,14.78,15.91,16.61,15.87,16.52,17.65,18.07,17.23,16.89,15.93,13.64,14.89,14.9,16.04,18.74,20.38,21.03,19.45,21.2,22.34,21.98,22.32,21.53,21.93,21.16,21.41,20.41
Argentina,City of Buenos Aires,12.61,13.75,14.82,15.95,16.65,15.91,16.57,17.7,18.12,17.28,16.94,15.97,13.68,14.93,14.94,16.08,18.79,20.44,21.09,19.5,21.26,22.41,22.04,22.38,21.59,21.99,21.22,21.48,20.47
Argentina,Cordoba,11.45,12.47,13.43,14.44,15.07,14.41,14.99,16.01,16.38,15.63,15.33,14.46,12.4,13.53,13.53,14.56,16.98,18.46,19.04,17.62,19.19,20.21,19.89,20.19,19.49,19.85,19.16,19.38,18.48
Argentina,"Corrientes, Entre Rios, Misiones",10.56,11.49,12.37,13.29,13.87,13.26,13.8,14.73,15.07,14.38,14.1,13.31,11.43,12.46,12.46,13.4,15.61,16.96,17.49,16.19,17.62,18.56,18.26,18.53,17.89,18.22,17.59,17.8,16.98
Argentina,"Jujuy, Salta",9.447,10.27,11.05,11.86,12.37,11.83,12.3,13.12,13.42,12.82,12.57,11.87,10.22,11.13,11.13,11.95,13.9,15.08,15.55,14.41,15.67,16.49,16.23,16.47,15.91,16.19,15.64,15.82,15.1
