Country,Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Total,50.33,51,51.64,52.26,52.84,53.4,53.92,54.42,54.91,55.38,55.84,56.31,56.78,57.27,57.77,58.29,58.83,59.38,59.93,60.48,61.03,61.55,62.05,62.53,62.97,63.38,63.76,64.13,64.49
Afghanistan,Central (Kabul Wardak Kapisa Logar Parwan Panjsher),51.32,52,52.65,53.28,53.88,54.44,54.98,55.49,55.98,56.46,56.94,57.41,57.9,58.39,58.9,59.43,59.98,60.54,61.1,61.67,62.22,62.86,63.46,64.03,64.58,65.08,65.48,65.86,66.22
Afghanistan,Central Highlands (Bamyan Daikundi),48.8,49.45,50.07,50.67,51.24,51.77,52.28,52.77,53.24,53.69,54.14,54.6,55.06,55.53,56.02,56.52,57.04,57.57,58.11,58.64,59.17,60.16,61.12,62.04,62.93,63.77,64.16,64.53,64.89
Afghanistan,East (Nangarhar Kunar Laghman Nooristan),53.74,54.45,55.13,55.79,56.42,57.01,57.57,58.11,58.62,59.12,59.62,60.12,60.62,61.14,61.68,62.23,62.8,63.39,63.98,64.58,65.16,64.73,64.3,63.85,63.39,62.91,63.29,63.66,64.01
Afghanistan,North (Samangan Sar-e-Pul Balkh Jawzjan Faryab),48.78,49.43,50.05,50.65,51.22,51.76,52.27,52.75,53.22,53.67,54.12,54.58,55.04,55.51,56,56.5,57.02,57.55,58.09,58.62,59.15,59.85,60.52,61.15,61.76,62.33,62.71,63.07,63.42
Afghanistan,North East (Baghlan Takhar Badakhshan Kunduz),50.63,51.3,51.94,52.56,53.15,53.71,54.24,54.74,55.23,55.7,56.17,56.64,57.12,57.61,58.11,58.63,59.17,59.72,60.28,60.84,61.39,61.56,61.71,61.83,61.94,62.02,62.39,62.75,63.1
Afghanistan,South (Uruzgan Helmand Zabul Nimroz Kandahar),53.15,53.85,54.53,55.18,55.8,56.39,56.94,57.47,57.98,58.47,58.97,59.46,59.96,60.48,61,61.55,62.12,62.7,63.28,63.87,64.44,64.23,64.01,63.76,63.5,63.22,63.6,63.97,64.33
Afghanistan,South East (Ghazni Paktya Paktika Khost),48.61,49.25,49.87,50.47,51.03,51.57,52.08,52.56,53.03,53.48,53.93,54.38,54.84,55.31,55.79,56.29,56.81,57.34,57.88,58.41,58.94,60.36,61.75,63.08,64.38,65.63,66.03,66.41,66.78
Afghanistan,West (Ghor Herat Badghis Farah),48.4,49.04,49.66,50.25,50.81,51.35,51.85,52.33,52.8,53.25,53.69,54.14,54.6,55.07,55.55,56.05,56.56,57.09,57.63,58.16,58.68,59.58,60.44,61.27,62.06,62.82,63.21,63.57,63.92
Algeria,Total,66.94,67.27,67.58,67.88,68.19,68.54,68.92,69.32,69.75,70.18,70.64,71.12,71.61,72.1,72.59,73.07,73.52,73.94,74.31,74.64,74.94,75.2,75.44,75.66,75.88,76.09,76.3,76.5,76.69
Algeria,"Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",65.46,65.79,66.08,66.38,66.69,67.03,67.4,67.79,68.21,68.64,69.08,69.55,70.03,70.51,70.99,71.46,71.9,72.31,72.67,73,73.29,73.54,73.77,73.99,74.2,74.41,74.62,74.81,75
