Years,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
12-31-1959,68.3,68.7,70.4,69.4,71.2,70.9,71.1,69.7,70.3,67.9,71.5,71.1,69.6,70.5,71.8,71.9,69.8,68.2,69.9,68.8,70.8,70.1,71.8,67.8,70.5,69.3,71.9,67.9,70.5,69.9,69.6,69.6,68.6,71.7,70.1,71.1,70.7,69.4,70.5,66.4,71,69.5,70.4,71.6,70.4,68.8,70.8,69.4,71.2,70
12-31-1960,67.9,67.2,69.9,69.3,70.8,70.9,71.1,69.1,69.9,67.5,71.3,71.4,69.6,70.3,71.9,71.9,69.6,67.9,70.2,68.6,70.5,70.2,71.8,67.6,70.2,69.6,72,67.6,70.7,69.9,69.3,69.7,68.2,71.5,70.2,70.8,71,69.5,70.6,66.1,70.5,69.4,70.2,71.8,70.4,68.7,71.1,69.6,71.1,69.2
12-31-1961,68.6,68,70.5,69.4,71.1,71.2,71.4,69.9,70.5,68.4,72.3,71.3,70,70.7,72.2,72.2,70,68.7,70.4,69.2,70.8,70.5,72.2,68.3,70.7,70,72.2,68.1,70.8,70,70.1,69.8,68.8,72.3,70.6,71.2,71.4,69.8,71.1,66.9,71.4,69.8,70.8,71.9,70.6,69.3,71.4,69.8,71.7,70.6
12-31-1962,68.3,67.9,69.8,69.4,71.1,70.9,71.1,69.7,70.2,68,72.3,71.4,69.9,70.5,72.3,72,69.8,68.2,70.3,69.2,71,70.4,72.3,67.5,70.5,70.3,72.2,68.3,71,70.1,70.2,69.8,68.6,72,70.4,71,71.6,69.7,70.9,67.1,70.9,69.6,70.4,71.8,70.7,69,71.3,69.5,71.7,70.2
12-31-1963,68,68.1,69.6,69.2,70.9,71.1,71,69.6,70.2,67.7,72.3,71.3,69.7,70,72.1,71.8,69.6,68.2,70.4,68.8,71.4,70.2,72.2,67.2,70.2,70.2,72.1,67.7,70.5,69.9,69.8,69.8,68.4,71.9,70.2,70.9,71.3,69.6,70.5,66.5,71.1,69.3,70.4,71.7,70.6,68.8,71.5,69.2,71.5,69.8
12-31-1964,68.3,67,69.8,69.7,71,71,71.5,69.7,70.5,68,72.8,71.5,69.8,70.5,72.1,72.2,70,68.1,70.6,69.5,72.6,70.3,72.2,67.8,70.5,69.6,71.9,67.7,70.7,70.1,69.9,69.9,68.7,72,70.5,71.2,71.5,70,70.9,67,71.4,69.6,70.6,72.2,70.4,69.2,71.4,69.8,71.8,70
12-31-1965,68.2,68.6,70.3,70.5,71.1,71.5,71.4,69.6,70.5,68.1,73.1,71.2,69.7,70.4,72.1,72.3,70.2,68,70.8,69.2,70.8,70.2,72.5,67.9,70.4,70.2,72,68.2,70.7,70.3,70.3,70.1,68.6,72.2,70.4,71.7,71.6,69.8,70.8,67,71.9,70,70.8,71.9,70.5,69.3,71.9,69.5,71.6,70.8
12-31-1966,68.3,69.2,70.4,70.1,71.1,71.7,71.5,69.2,70.5,68.2,73.3,71.5,69.4,70.3,72.2,72.2,70.1,68,70.7,69.2,71.2,70.2,72.4,67.6,70.2,70,72.2,68.7,71,70.3,70.2,70,68.6,71.9,70.4,71.3,71.3,69.9,71.2,67,71.6,69.7,70.6,71.8,70.7,69.5,71.4,69.4,71.7,71.5
12-31-1967,69,69.3,70.7,70.7,71.5,72,71.7,69.8,71,68.6,73.3,72.1,69.8,70.6,72.6,72.5,70.1,68.7,70.5,69.8,71.3,70.3,72.6,68,70.6,70.4,72.6,69.4,71.1,70.6,70.5,70.2,69,72.8,70.6,71.4,71.6,70.1,71.5,67.6,72.5,70.1,71,72.9,71,69.8,71.5,69.5,72.2,71.3
12-31-1968,68.6,69.2,70,70.5,71.5,71.3,71.6,69.3,70.5,67.8,72.8,72,69.5,70.3,72.2,72.2,69.9,67.9,70.6,69.5,71.2,70.1,72.5,67.7,70.3,70.9,72.3,68.9,71,70.3,70.3,69.9,68.7,72.8,70.2,71.3,71.9,69.7,71.1,66.9,72.1,69.8,70.4,72.5,70.9,69.3,71.2,69.4,71.9,70.7
